Occupation,OccupationQS
Marketing manager,Marketing%20manager
Product analyst,Product%20analyst
Product manager,Product%20manager
Product designer,Product%20designer
Computer Systems Analyst,Computer%20Systems%20Analyst
Infraestructure engineer,Infraestructure%20engineer
Software infrastructure architect,Software%20infrastructure%20architect
Web developer,Web%20developer
Software developer,Software%20developer
User interface designer,User%20interface%20designer
Software engineer,Software%20engineer
Software architect,Software%20architect
Software Quality Assurance Analysts and Testers,Software%20Quality%20Assurance%20Analysts%20and%20Testers
Embedded systems engineer,Embedded%20systems%20engineer
Web and Digital Interface Designers,Web%20and%20Digital%20Interface%20Designers
Database infrastructure engineer,Database%20infrastructure%20engineer
Network architect,Network%20architect
Database Administrators,Database%20Administrators
Database Architects,Database%20Architects
Network and Computer Systems Administrator,Network%20and%20Computer%20Systems%20Administrator
Artificial intelligence engineer,Artificial%20intelligence%20engineer
Machine Learning engineer,Machine%20Learning%20engineer
Data science engineer,Data%20science%20engineer
Data analyst,Data%20analyst
Data scientist,Data%20scientist
Artifical Intelligence scientist,Artifical%20Intelligence%20scientist
Data architect,Data%20architect
ICT security specialist,ICT%20security%20specialist
IT security operations,IT%20security%20operations
Information Security Analysts,Information%20Security%20Analysts
Product risk specialist,Product%20risk%20specialist
Security architect,Security%20architect
Database support engineer,Database%20support%20engineer
Data center operations engineer,Data%20center%20operations%20engineer
Support systems engineer,Support%20systems%20engineer
Computer Network Support Specialists,Computer%20Network%20Support%20Specialists
App developer,App%20developer
Business Intelligence professional,Business%20Intelligence%20professional
